"date","latitude","longitude"
"2021-04-02","1.2504009577","103.8213520856"
"2021-04-02","1.4602914948","103.8975244265"
"2021-04-01","1.3996019213","103.9340238558"
"2021-04-01","1.4232007478","103.9650371974"
"2021-03-28","1.2576806821","103.9055625237"
"2021-03-28","1.243624044","103.8457735647"
"2021-03-28","1.2243022553","103.8206999882"
"2021-03-27","1.2245942768","103.8637866041"
"2021-03-25","1.2340528137","103.925010709"
"2021-03-21","1.4340461969","103.7899053406"
"2021-03-20","1.2932390792","103.9673363451"
"2021-03-17","1.3902212043","103.9841421381"
"2021-03-16","1.5004471006","103.935564197"
"2021-03-16","1.4042348469","103.6808133305"
"2021-03-15","1.3247494731","103.9423834245"
"2021-03-15","1.4070304543","103.9638552323"
"2021-03-13","1.2336841998","103.8364849961"
"2021-03-10","1.3733827661","103.9163240204"
"2021-03-08","1.3272470013","103.9753612134"
"2021-03-07","1.3045221216","103.884064229"
"2021-03-06","1.21818878","103.9109091391"
"2021-03-03","1.2575515371","103.8778559503"
"2021-03-03","1.4343227889","103.8303851919"
"2021-03-02","1.3075779263","103.6951351673"
"2021-03-02","1.4047189273","103.6662034128"
"2021-02-25","1.2536629519","103.8700168426"
"2021-02-22","1.4023407336","103.9396280804"
"2021-02-21","1.466041425","103.9411139074"
"2021-02-19","1.3196305319","103.6478473977"
"2021-02-18","1.4218495478","103.9755125118"
"2021-02-07","1.3109068059","103.9315409008"
"2021-02-07","1.4997014278","103.612187412"
"2021-02-05","1.217931811","103.9584572277"
"2021-02-02","1.3958445957","103.9179592303"
"2021-02-02","1.3024337128","103.9678823145"
"2021-01-31","1.2962544232","103.9997047943"
"2021-01-30","1.3588724179","103.9505835028"
"2021-01-27","1.3351233224","103.8083396419"
"2021-01-25","1.4357671317","103.9908013172"
"2021-01-24","1.2294624297","103.8033527565"
"2021-01-24","1.5577563933","103.8064663638"
"2021-01-21","1.4251565626","103.9499072388"
"2021-01-15","1.4480388395","103.971153509"
"2021-01-12","1.5084600905","103.8664237855"
"2021-01-09","1.3886253663","103.9896812507"
"2021-01-09","1.3645758012","103.7303001798"
"2021-01-09","1.2073217806","103.8529177209"
"2021-01-08","1.2534647278","103.9004240363"
"2021-01-05","1.2524955555","103.9119016649"
"2021-01-01","1.5284635805","103.8850142427"
"2020-12-31","1.3689996512","103.8870104079"
"2020-12-29","1.5500163021","103.6030699317"
"2020-12-28","1.494579415","103.8915198784"
"2020-12-28","1.5941766118","103.837204166"
"2020-12-26","1.3885048189","103.8733043008"
"2020-12-21","1.3310713349","103.8580777203"
"2020-12-20","1.3151645002","103.9798318244"
